Körzet,Fidesz_pred,Tisza_pred,Győztes
Bács-Kiskun 01,37.48326639892905,51.01351351351351,Tisza
Bács-Kiskun 02,32.641677822400716,59.79729729729729,Tisza
Bács-Kiskun 03,39.2793395805444,45.945945945945944,Tisza
Bács-Kiskun 04,40.528781793842036,45.608108108108105,Tisza
Bács-Kiskun 05,38.02989736724677,41.72297297297297,Tisza
Bács-Kiskun 06,39.04506916555109,44.59459459459459,Tisza
Baranya 01,28.815261044176705,55.91216216216216,Tisza
Baranya 02,31.00178491744757,52.702702702702695,Tisza
Baranya 03,41.856314145470776,38.85135135135135,Fidesz
Baranya 04,43.027666220437304,36.99324324324324,Fidesz
Békés 01,31.15796519410977,57.60135135135135,Tisza
Békés 02,37.48326639892905,46.62162162162162,Tisza
Békés 03,38.57652833556448,49.66216216216216,Tisza
Békés 04,35.06247211066488,47.63513513513513,Tisza
Borsod-Abaúj-Zemplén 01,31.00178491744757,56.58783783783784,Tisza
Borsod-Abaúj-Zemplén 02,29.98661311914324,57.09459459459458,Tisza
Borsod-Abaúj-Zemplén 03,43.26193663543061,37.33108108108108,Fidesz
Borsod-Abaúj-Zemplén 04,39.90406068719322,39.695945945945944,Fidesz
Borsod-Abaúj-Zemplén 05,43.57429718875502,40.371621621621614,Fidesz
Borsod-Abaúj-Zemplén 06,38.65461847389558,46.79054054054054,Tisza
Borsod-Abaúj-Zemplén 07,38.65461847389558,46.79054054054054,Tisza
Budapest 01,27.019187862561356,54.5608108108108,Tisza
Budapest 02,26.86300758589915,53.20945945945945,Tisza
Budapest 03,26.70682730923695,56.08108108108109,Tisza
Budapest 04,25.76974564926372,58.61486486486487,Tisza
Budapest 05,20.615796519410978,60.13513513513513,Tisza
Budapest 06,23.505131637661762,57.432432432432435,Tisza
Budapest 07,25.066934404283803,55.23648648648649,Tisza
Budapest 08,26.628737170905843,51.35135135135135,Tisza
Budapest 09,26.86300758589915,53.20945945945945,Tisza
Budapest 10,26.31637661758144,54.22297297297297,Tisza
Budapest 11,25.14502454261491,56.08108108108109,Tisza
Budapest 12,23.817492190986165,57.09459459459458,Tisza
Budapest 13,26.004016064257026,53.37837837837838,Tisza
Budapest 14,28.659080767514503,53.54729729729729,Tisza
Budapest 15,28.502900490852298,53.88513513513513,Tisza
Budapest 16,27.48772869254797,53.20945945945945,Tisza
Csongrád 01,22.09950914770192,66.38513513513513,Tisza
Csongrád 02,30.142793395805445,53.71621621621622,Tisza
Csongrád 03,35.140562248995984,49.32432432432432,Tisza
Csongrád 04,32.641677822400716,44.59459459459459,Tisza
Fejér 01,33.344489067380636,55.23648648648649,Tisza
Fejér 02,35.06247211066488,51.01351351351351,Tisza
Fejér 03,36.468094600624724,49.32432432432432,Tisza
Fejér 04,30.923694779116467,53.04054054054054,Tisza
Fejér 05,44.27710843373494,36.148648648648646,Fidesz
Győr-Moson-Sopron 01,31.07987505577867,63.3445945945946,Tisza
Győr-Moson-Sopron 02,36.31191432396252,53.20945945945945,Tisza
Győr-Moson-Sopron 03,45.68273092369478,39.86486486486486,Fidesz
Győr-Moson-Sopron 04,37.71753681392235,50.8445945945946,Tisza
Győr-Moson-Sopron 05,36.78045515394913,51.01351351351351,Tisza
Hajdu-Bihar 01,31.236055332440877,64.3581081081081,Tisza
Hajdu-Bihar 02,32.719767960731815,61.14864864864865,Tisza
Hajdu-Bihar 03,40.13833110218652,47.63513513513513,Tisza
Hajdu-Bihar 04,45.68273092369478,38.00675675675676,Fidesz
Hajdu-Bihar 05,39.66979027219991,45.439189189189186,Tisza
Hajdu-Bihar 06,36.23382418563142,50.0,Tisza
Heves 01,34.828201695671574,54.22297297297297,Tisza
Heves 02,36.85854529228024,46.62162162162162,Tisza
Heves 03,38.888888888888886,44.76351351351351,Tisza
Jász-Nagykun-Szolnok 01,30.06470325747434,60.64189189189189,Tisza
Jász-Nagykun-Szolnok 02,37.56135653726015,50.33783783783784,Tisza
Jász-Nagykun-Szolnok 03,44.82373940205265,40.2027027027027,Fidesz
Jász-Nagykun-Szolnok 04,35.6091030789826,48.310810810810814,Tisza
Komárom-Esztergom 01,30.298973672467646,57.09459459459458,Tisza
Komárom-Esztergom 02,32.719767960731815,56.249999999999986,Tisza
Komárom-Esztergom 03,36.70236501561803,47.63513513513513,Tisza
Nógrád 01,38.10798750557786,44.932432432432435,Tisza
Nógrád 02,42.16867469879518,38.17567567567568,Fidesz
Pest 01,28.268630075858994,58.108108108108105,Tisza
Pest 02,27.09727800089246,61.48648648648648,Tisza
Pest 03,31.470325747434178,56.41891891891891,Tisza
Pest 04,33.734939759036145,51.858108108108105,Tisza
Pest 05,28.19053993752789,61.31756756756756,Tisza
Pest 06,28.5809906291834,61.31756756756756,Tisza
Pest 07,35.843373493975896,47.63513513513513,Tisza
Pest 08,30.689424364123155,56.92567567567568,Tisza
Pest 09,34.90629183400268,50.16891891891891,Tisza
Pest 10,27.87817938420348,61.14864864864865,Tisza
Pest 11,34.67202141900937,51.35135135135135,Tisza
Pest 12,39.1231593038822,42.567567567567565,Tisza
Pest 13,38.42034805890228,43.91891891891891,Tisza
Pest 14,38.10798750557786,47.80405405405405,Tisza
Somogy 01,34.047300312360555,53.71621621621622,Tisza
Somogy 02,42.949576082106205,40.03378378378378,Fidesz
Somogy 03,41.700133868808564,42.39864864864865,Tisza
Somogy 04,37.95180722891566,47.80405405405405,Tisza
Szabolcs-Szatmár-Bereg 01,28.737170905845602,66.38513513513513,Tisza
Szabolcs-Szatmár-Bereg 02,38.26416778224007,50.33783783783784,Tisza
Szabolcs-Szatmár-Bereg 03,43.10575635876841,44.25675675675676,Tisza
Szabolcs-Szatmár-Bereg 04,49.587237840249884,37.16216216216216,Fidesz
Szabolcs-Szatmár-Bereg 05,48.57206604194556,35.47297297297297,Fidesz
Szabolcs-Szatmár-Bereg 06,45.52655064703257,40.2027027027027,Fidesz
Tolna 01,38.34225792057117,45.27027027027027,Tisza
Tolna 02,42.246764837126285,38.513513513513516,Fidesz
Tolna 03,40.997322623828644,42.736486486486484,Tisza
Vas 01,33.032128514056225,54.391891891891895,Tisza
Vas 02,42.16867469879518,42.736486486486484,Tisza
Vas 03,45.21419009370816,37.83783783783783,Fidesz
Veszprém 01,32.016956715751896,55.067567567567565,Tisza
Veszprém 02,33.18830879071843,53.54729729729729,Tisza
Veszprém 03,35.92146363230701,47.46621621621622,Tisza
Veszprém 04,41.46586345381527,41.21621621621621,Fidesz
Zala 01,39.51360999553771,47.97297297297297,Tisza
Zala 02,40.606871932173135,45.77702702702703,Tisza
Zala 03,36.31191432396252,49.49324324324324,Tisza
